% Model:              2D-Au-Plate-from-wl.mph
% Version:            COMSOL 6.1.0.282
% Date:               Apr 21 2025, 22:59
% Dimension:          1
% Nodes:              101
% Expressions:        5
% Description:        Table graph
% R0 (nm),C_ED (m^2),C_MD (m^2),C_EQ (m^2),C_MQ (m^2),C_full (m^2)
109.99999999999999,1.4082986155934526E-13,3.0106368830255173E-13,5.253045850357998E-16,4.231043476495634E-17,4.424611648816977E-13
110.99999999999999,1.7292922916747667E-13,2.8194008477205776E-13,4.862135242605383E-16,5.65087496335767E-17,4.554120362134285E-13
112,2.2076107391548693E-13,2.736851092184723E-13,4.4158448649189113E-16,7.787607860555227E-17,4.949656436990567E-13
112.99999999999999,2.8801386539967645E-13,2.717326702993011E-13,3.9626187695246206E-16,1.0842270997705343E-16,5.60251220285907E-13
113.99999999999999,3.787988155049818E-13,2.735481141946987E-13,3.57964532833041E-16,1.5090942784884854E-16,6.528558036603625E-13
115,4.972746473381864E-13,2.774533394755174E-13,3.3859161292150426E-16,2.0872314656469448E-16,7.7527530157319E-13
115.99999999999999,6.467228730084408E-13,2.820053350356874E-13,3.555575218359315E-16,2.855360150819144E-16,9.293693015810462E-13
116.99999999999999,8.278534307821989E-13,2.856377648652694E-13,4.3246336287568506E-16,3.8451044903822555E-16,1.1143081694593822E-12
118,1.0362679542782165E-12,2.8653193783606504E-13,5.976339890306001E-16,5.06843661628235E-16,1.3239043697649403E-12
118.99999999999999,1.259834275415656E-12,2.827423083567509E-13,8.78689781158472E-16,6.497824815671204E-16,1.5441050560351325E-12
120,1.4777107524813187E-12,2.726394231740411E-13,1.2924807936712814E-15,8.049022053459674E-16,1.7524475586543772E-12
121,1.6635142549139911E-12,2.5559442972441627E-13,1.8335891849346954E-15,9.58293380328476E-16,1.921900567203671E-12
121.99999999999999,1.7930783062465068E-12,2.324762831335417E-13,2.469259123646259E-15,1.0938149388639238E-15,2.0291176634425586E-12
122.99999999999999,1.853152580430157E-12,2.0553309740519377E-13,3.1471938947019812E-15,1.1984036927858438E-15,2.0630312754228386E-12
123.99999999999999,1.845311679370399E-12,1.776000457142447E-13,3.813362100534745E-15,1.266190960661229E-15,2.0279912781458402E-12
125,1.7828242421559187E-12,1.511500935805732E-13,4.428234095284933E-15,1.2989151551081661E-15,1.939701484986885E-12
126,1.6838001618082618E-12,1.277482384651476E-13,4.9730266047640605E-15,1.3032597370509784E-15,1.8178246866152244E-12
127,1.565238419003516E-12,1.0802240827572811E-13,5.446475634443768E-15,1.287479804594227E-15,1.679994782718282E-12
127.99999999999999,1.4400649032429655E-12,9.193145416455802E-14,5.8576927626750244E-15,1.259063892338573E-15,1.539113114062537E-12
129,1.3167299932872241E-12,7.907609309033715E-14,6.21997393242981E-15,1.223784226460411E-15,1.4032498445364515E-12
129.99999999999997,1.200031508675577E-12,6.89293018510539E-14,6.546688892923495E-15,1.1856247614537173E-15,1.276693124181008E-12
