% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 17:00
% Dimension:          1
% Nodes:              176
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
45.99999999999999,1.7681666952283909E-25,-2.9631725375210893E-26,3.8240839579182717E-26,1.8973957914081591E-25,6.641890891947291E-27,3.925805922304097E-26
47,1.9774683877246837E-25,-3.3336085696552014E-26,4.294377781433605E-26,2.1210009916292127E-25,7.526141037067926E-27,4.451625842161354E-26
48,2.20696198052418E-25,-3.744212366544171E-26,4.814153635995929E-26,2.366019848163006E-25,8.508955226115556E-27,5.036321166164165E-26
48.99999999999999,2.458226546385125E-25,-4.199035347388851E-26,5.38812463029067E-26,2.6341060279804245E-25,9.599435197792438E-27,5.68535628511962E-26
50,2.7329439736139706E-25,-4.702525786365891E-26,6.021462363345966E-26,2.92701804276544E-25,1.0807469712234978E-26,6.404625518692054E-26
50.99999999999999,3.0329112776467618E-25,-5.259582656072626E-26,6.71987986410211E-26,3.2466349642755697E-25,1.2143715755781112E-26,7.200477729206006E-26
51.99999999999999,3.3600433579731177E-25,-5.875646549271243E-26,7.489641246837517E-26,3.5949472762007503E-25,1.3619703843018443E-26,8.079755461130149E-26
53,3.7163796208676525E-25,-6.556779090045504E-26,8.337560815029492E-26,3.974083957182713E-25,1.5247819258348537E-26,9.049830315644871E-26
53.99999999999999,4.1041005689447026E-25,-7.309670612190304E-26,9.271372418817511E-26,4.386310956157692E-25,1.7041422786318582E-26,1.0118642248535534E-25
54.99999999999999,4.5255281289205415E-25,-8.141758053488665E-26,1.0299335052256731E-25,4.834036165992245E-25,1.9015030270254003E-26,1.1294735716751235E-25
56,4.983142172949232E-25,-9.06127848498159E-26,1.1430847738552785E-25,5.319838268206929E-25,2.1184265237647426E-26,1.2587316776252574E-25
56.99999999999999,5.479590898093391E-25,-1.0077481741809581E-25,1.267619879193653E-25,5.8464514138368E-25,2.356590349237846E-26,1.4006292831583152E-25
57.99999999999999,6.017697243404707E-25,-1.1200607274252455E-25,1.4046723463237433E-25,6.416797248289028E-25,2.617822282928786E-26,1.5562333224129457E-25
59,6.600479182068114E-25,-1.24421066943338E-25,1.5555056651032958E-25,7.033983622412119E-25,2.904092210565069E-26,1.726692588944559E-25
60,7.231153450608921E-25,-1.3814735859866513E-25,1.7215357191341491E-25,7.701346368139902E-25,3.2175282904561934E-26,1.913245328981673E-25
60.99999999999999,7.913170322275619E-25,-1.5332818992533071E-25,1.9043328923051553E-25,8.422413898535933E-25,3.560427500215161E-26,2.1172242023403727E-25
61.99999999999999,8.650200775400649E-25,-1.7012370459318085E-25,2.1056172080529137E-25,9.20097181452404E-25,3.9352875299094424E-26,2.3400658639146974E-25
