% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Nov 30 2025, 16:58
% Dimension:          1
% Nodes:              176
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
106,1.5024666392202745E-31,-1.317583736841238E-31,1.2928324455987936E-31,1.6409956679893332E-31,-7.917158942647317E-32,-1.9444712325012415E-32
106.99999999999999,1.507760560372719E-31,-1.4207931008075775E-31,1.397262171483271E-31,1.6540365948140637E-31,-8.039568054272273E-32,-1.7677827492787753E-32
107.99999999999999,1.5017262061135866E-31,-1.5260199187399018E-31,1.504066529412575E-31,1.6560318551306776E-31,-8.151472777206749E-32,-1.5878868556571017E-32
109,1.483011609113637E-31,-1.6310050617261816E-31,1.6110144299243356E-31,1.645597441938526E-31,-8.253282712822236E-32,-1.405752306297711E-32
109.99999999999999,1.45066692832384E-31,-1.7328589498499868E-31,1.7152340394810603E-31,1.6217463969860683E-31,-8.345103292947371E-32,-1.2218273113441881E-32
110.99999999999999,1.404394402972894E-31,-1.8280882483597565E-31,1.8132349546584628E-31,1.584139487527573E-31,-8.427024091527242E-32,-1.0368609599667101E-32
112,1.3448314583914743E-31,-1.912731839742558E-31,1.9010460058847675E-31,1.53337112899079E-31,-8.499327958206295E-32,-8.515466776434847E-33
112.99999999999999,1.2738100978176496E-31,-1.9826128752869056E-31,1.9744545269403586E-31,1.4712421163481444E-31,-8.562464511625764E-32,-6.663632751740584E-33
113.99999999999999,1.194534603505724E-31,-2.033740525652029E-31,2.0294189754395954E-31,1.4009407970065904E-31,-8.61678736219523E-32,-4.81598212309825E-33
115,1.1115911406715564E-31,-2.0627693314689054E-31,2.062528162666025E-31,1.3270650807425154E-31,-8.662711379856276E-32,-2.9788386679416932E-33
115.99999999999999,1.0308027701043124E-31,-2.0675295811174336E-31,2.07154542342616E-31,1.2554868665220215E-31,-8.700542166272362E-32,-1.1549859558983368E-33
116.99999999999999,9.588518392974621E-32,-2.047436660098464E-31,2.0558217778971046E-31,1.192977916748175E-31,-8.730780712333638E-32,6.536215551495672E-34
118,9.027191100650182E-32,-2.003760395271351E-31,2.016594186105027E-31,1.1466478101693605E-31,-8.753722635729847E-32,2.4432286519168747E-33
118.99999999999999,8.691345088603088E-32,-1.9396623678640935E-31,1.9570242303050734E-31,1.1233949145582314E-31,-8.76985383035586E-32,4.21261740241371E-33
120,8.640074340466743E-32,-1.859992138487126E-31,1.8820164845742835E-31,1.1293221197885506E-31,-8.779553601523859E-32,5.96109590612551E-33
121,8.920757137967618E-32,-1.7709383492270537E-31,1.797878735105005E-31,1.1693724044134163E-31,-8.783501751280376E-32,7.687212088607451E-33
121.99999999999999,9.566628652237304E-32,-1.679562563519857E-31,1.7118581183637738E-31,1.247078528407424E-31,-8.781554059155375E-32,9.391341780734017E-33
122.99999999999999,1.0598125416295932E-31,-1.5934753651588343E-31,1.631823431899877E-31,1.3646764003149186E-31,-8.774323388394009E-32,1.1070675585565666E-32
123.99999999999999,1.2022958500363896E-31,-1.5206094572702962E-31,1.5660421214950031E-31,1.5231095678821403E-31,-8.762106440356451E-32,1.2730279288727262E-32
125,1.3839037029895943E-31,-1.4690812142518213E-31,1.5230469732742966E-31,1.722295022627025E-31,-8.745131761702767E-32,1.4365417488385388E-32
126,1.603457225834063E-31,-1.4474143259806688E-31,1.5118732104690687E-31,1.9611332713870776E-31,-8.723941331109407E-32,1.5980588536080974E-32
127,1.85882179191569E-31,-1.4646308333698126E-31,1.542154321071546E-31,2.2374806750672046E-31,-8.698478887580188E-32,1.757531271626939E-32
127.99999999999999,2.1466193065013455E-31,-1.5307134793383442E-31,1.62460009614351E-31,2.5478398202982905E-31,-8.669296019527728E-32,1.9151526503039175E-32
129,2.4616797170561897E-31,-1.6567538435384698E-31,1.7711540248224954E-31,2.8867426803628502E-31,-8.636338454396152E-32,2.071054282644692E-32
129.99999999999997,2.796088489383959E-31,-1.8551996257349895E-31,1.9952304338166582E-31,3.245727568632406E-31,-8.599877807284029E-32,2.2252918021131678E-32
130.99999999999997,3.137773541926303E-31,-2.1395279596713418E-31,2.311355632816071E-31,3.611815556876015E-31,-8.56009076473835E-32,2.3782790302697782E-32
132,3.4688479595252154E-31,-2.5233097085704042E-31,2.734124876202064E-31,3.965708197246278E-31,-8.517087251138636E-32,2.529952595150146E-32
133,3.7636620937290413E-31,-3.0179383041857328E-31,3.2757505059627675E-31,4.27973165351899E-31,-8.470912674641969E-32,2.680759071115655E-32
134,3.987528731156874E-31,-3.628814650975437E-31,3.941897493422871E-31,4.516459870969681E-31,-8.421914573033266E-32,2.8305306159773797E-32
