% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:29
% Dimension:          1
% Nodes:              151
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
143.5,7.902025309549213E-31,-1.6784465182527424E-31,-7.21160017421833E-31,-4.901031895859049E-31,-3.8948074028544613E-32,-7.799338863942029E-32
144,7.712317566398614E-31,-2.0195332407594475E-31,-7.325348290058817E-31,-4.495539357875212E-31,-3.9726651040133166E-32,-7.764158446799277E-32
144.5,7.502536925457492E-31,-2.326653481964506E-31,-7.397741927153077E-31,-4.100954985676328E-31,-4.0510419904940776E-32,-7.728077284295967E-32
145,7.2783984247103815E-31,-2.6003842663131137E-31,-7.4336173713412235E-31,-3.7211862061592275E-31,-4.129968611321029E-32,-7.691026695254806E-32
145.49999999999997,7.044866835573586E-31,-2.8420839081610394E-31,-7.437827873021496E-31,-3.3589700566771822E-31,-4.2094933273572444E-32,-7.652993904877742E-32
146,6.806106665236009E-31,-3.053613969606822E-31,-7.414993005580258E-31,-3.0160462792868843E-31,-4.289618553969321E-32,-7.61393603505629E-32
146.5,6.565554499071282E-31,-3.2371575072791564E-31,-7.369417084002054E-31,-2.6933549915102797E-31,-4.3703588360009504E-32,-7.573850451381443E-32
147,6.325939001856585E-31,-3.3950936345346885E-31,-7.305010558940268E-31,-2.391147192992746E-31,-4.4517882572734524E-32,-7.532671443507115E-32
147.5,6.089392350530845E-31,-3.529793810232082E-31,-7.225217584691143E-31,-2.1092256572310563E-31,-4.533916465061203E-32,-7.490379704956866E-32
147.99999999999997,5.857511828532371E-31,-3.643588379200036E-31,-7.1330405347835655E-31,-1.847017574333295E-31,-4.616780032460561E-32,-7.446882063722287E-32
148.5,5.6315046315531535E-31,-3.7386906733255673E-31,-7.031091140181376E-31,-1.603745295223384E-31,-4.7003946745921397E-32,-7.402208495549133E-32
148.99999999999997,5.412171623175124E-31,-3.817174352621192E-31,-6.921564229411654E-31,-1.3784281222741746E-31,-4.784808309200224E-32,-7.356250028222024E-32
149.5,5.20005435246992E-31,-3.8809294449087005E-31,-6.8063137967550444E-31,-1.1700301895587338E-31,-4.8700370830133365E-32,-7.308973874866297E-32
150,4.995468091923905E-31,-3.931694805663103E-31,-6.686905451196082E-31,-9.774607550109067E-32,-4.956116232712469E-32,-7.260329599993248E-32
150.5,4.798548620696398E-31,-3.971024038632655E-31,-6.56462541089994E-31,-7.996348812211781E-32,-5.043073147178404E-32,-7.210254745634627E-32
151,4.60929114336622E-31,-4.000306500743226E-31,-6.440526769936805E-31,-6.354875965365646E-32,-5.130936097151505E-32,-7.158694477782075E-32
151.49999999999997,4.4275917368666E-31,-4.020782755340966E-31,-6.315473241359871E-31,-4.83993464193011E-32,-5.219730239895311E-32,-7.105569629671937E-32
152,4.253279425432924E-31,-4.03355299402387E-31,-6.190169637607124E-31,-3.441850181109741E-32,-5.309476213779614E-32,-7.050828857235821E-32
152.5,4.086121249076672E-31,-4.039593364803773E-31,-6.065179338954573E-31,-2.1514360379342078E-32,-5.400217457673679E-32,-6.994398755267886E-32
153,3.9258483083067966E-31,-4.039743328055321E-31,-5.9409327956125536E-31,-9.602861241441953E-33,-5.491953436692246E-32,-6.936191361494588E-32
153.5,3.7721667613002784E-31,-4.03476534524635E-31,-5.817784028593747E-31,1.3958847853356704E-33,-5.584733246150783E-32,-6.876115375945214E-32
153.99999999999997,3.624775706440713E-31,-4.025320253859149E-31,-5.696003239756257E-31,1.1554386073960445E-32,-5.678575513328861E-32,-6.814098445659372E-32
154.5,3.4833669760618105E-31,-4.011985938939945E-31,-5.5757918976692105E-31,2.0939231288626354E-32,-5.77348962656318E-32,-6.750042481351392E-32
154.99999999999997,3.3476297456610134E-31,-3.995274289669852E-31,-5.457299505916666E-31,2.961199428873802E-32,-5.86950992044674E-32,-6.683839783852383E-32
155.5,3.2172608454251855E-31,-3.975635450799955E-31,-5.3406339247503565E-31,3.762874528409512E-32,-5.966650028276327E-32,-6.615397527170213E-32
156,3.091964024909449E-31,-3.953464011860209E-31,-5.225866128109542E-31,4.504061318945066E-32,-6.064923484101026E-32,-6.544603108049786E-32
156.5,2.9714476518788287E-31,-3.929109828867967E-31,-5.113036688792911E-31,5.189473035559433E-32,-6.164354363509997E-32,-6.47132820787868E-32
157,2.8554405771291267E-31,-3.9028830601861795E-31,-5.002171338181583E-31,5.823337371183835E-32,-6.264940628257575E-32,-6.395461787543158E-32
157.49999999999997,2.743670612024557E-31,-3.8750532326651665E-31,-4.893264003315489E-31,6.40955437385076E-32,-6.366705808014119E-32,-6.316857812643853E-32
158,2.6358845669426247E-31,-3.84586841107679E-31,-4.786307224549437E-31,6.951682721921032E-32,-6.46964118441753E-32,-6.23537147574343E-32
158.5,2.531839087106414E-31,-3.8155535162619804E-31,-4.681283583800887E-31,7.452992981612438E-32,-6.573760475349375E-32,-6.15086419728144E-32
159,2.4312999359794505E-31,-3.7843030989396396E-31,-4.578158896634014E-31,7.916411688380241E-32,-6.67905617583329E-32,-6.063162453436823E-32
159.5,2.3340448434986893E-31,-3.752304824042283E-31,-4.476903927826254E-31,8.344674381470361E-32,-6.785521439921688E-32,-5.972101503776557E-32
159.99999999999997,2.239853120863025E-31,-3.7197312832838935E-31,-4.37747953345871E-31,8.74033411789609E-32,-6.893148181598906E-32,-5.87747939170574E-32
160.5,2.1485264627774366E-31,-3.6867387989910315E-31,-4.279850676931382E-31,9.105573859065315E-32,-7.001906935997868E-32,-5.779133822423709E-32
160.99999999999997,2.0598626712032753E-31,-3.6534892874092987E-31,-4.183985380184644E-31,9.442572809130733E-32,-7.111768971866596E-32,-5.676867287968429E-32
