% Model:              2D-Au-Plate_from_psi.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:26
% Dimension:          1
% Nodes:              100
% Expressions:        6
% Description:        Table graph
% psi,real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
0.8885312555607496,-1.836188060264451E-23,-4.0849989125982537E-23,-1.4517523168317604E-23,3.678899583034321E-23,1.884941182812411E-23,1.0484295426605671E-23
0.9202645146879193,-1.902813744990589E-23,-4.1475445526571944E-23,-1.4142559644946268E-23,3.5838797140257974E-23,1.9286695244329562E-23,1.0533946990882249E-23
0.9519977738150889,-1.978341764525252E-23,-4.2023468718256894E-23,-1.3764174307938183E-23,3.487992719914672E-23,1.973605439830314E-23,1.0528074987544429E-23
0.9837310329422585,-2.0632888594840534E-23,-4.2486241397172906E-23,-1.3383665474121006E-23,3.391567608424315E-23,2.0197233650592792E-23,1.0462173772529916E-23
1.0154642920694281,-2.1581701186919425E-23,-4.285488113656122E-23,-1.3002446307439668E-23,3.294962490795863E-23,2.066966433913784E-23,1.033133125383316E-23
1.0471975511965979,-2.2634828932651187E-23,-4.311929597657339E-23,-1.262205701735415E-23,3.1985676729979813E-23,2.115236110240464E-23,1.0130219451102214E-23
1.0789308103237674,-2.3796843376117338E-23,-4.3268042635089305E-23,-1.2244177821342694E-23,3.102808940566381E-23,2.1643794353062299E-23,9.853104415015655E-24
1.110664069450937,-2.507160910614457E-23,-4.3288201499714047E-23,-1.1870642257704475E-23,3.0081509322143284E-23,2.2141736544233577E-23,9.493885771629907E-24
1.1423973285781066,-2.6461880510818957E-23,-4.316529032891604E-23,-1.1503450161582779E-23,2.915100428099142E-23,2.2643081646581713E-23,9.046179498832341E-24
1.1741305877052763,-2.796878343533583E-23,-4.2883248813982276E-23,-1.114477924336602E-23,2.8242092839160277E-23,2.3143640591574734E-23,8.503461195445973E-24
1.2058638468324459,-2.959116996570877E-23,-4.2424538684014424E-23,-1.0796993720771065E-23,2.736076618362491E-23,2.3637920997968303E-23,7.859290483782141E-24
1.2375971059596156,-3.132484617590263E-23,-4.177041781362457E-23,-1.0462647855943162E-23,2.6513497094784385E-23,2.4118907949154394E-23,7.107639161461592E-24
1.269330365086785,-3.3161693824784834E-23,-4.090145915749526E-23,-1.014448157073055E-23,2.5707228835086186E-23,2.4577874313489E-23,6.243344403089646E-24
1.3010636242139548,-3.508874037111505E-23,-3.979839122801741E-23,-9.845404645679144E-24,2.4949335107547223E-23,2.500426368346899E-23,5.262700976560422E-24
1.3327968833411243,-3.7087278082454144E-23,-3.844332824545289E-23,-9.568465520493619E-24,2.4247540992697006E-23,2.5385704453744524E-23,4.164189763087073E-24
1.364530142468294,-3.913218865573077E-23,-3.6821424548714563E-23,-9.316800673285349E-24,2.3609794670048865E-23,2.5708225382711617E-23,2.9493109019233898E-24
1.3962634015954636,-4.119168296194803E-23,-3.4922919095874356E-23,-9.093561316739211E-24,2.3044081658129692E-23,2.5956743723391927E-23,1.6234480208832391E-24
1.4279966607226333,-4.322769445378903E-23,-3.2745427826254646E-23,-8.90181607932918E-24,2.2558178198029342E-23,2.611587706727022E-23,1.966399692066259E-25
1.4597299198498028,-4.519713952943743E-23,-3.029620532005278E-23,-8.744431663093265E-24,2.2159348827100345E-23,2.6171081047772313E-23,-1.3159088967174018E-24
1.4914631789769726,-4.7054150850365554E-23,-2.7593966857366516E-23,-8.62393803347413E-24,2.1854004755232598E-23,2.6110036104541255E-23,-2.8937682511917375E-24
1.5231964381041423,-4.87531932406185E-23,-2.4669794716030128E-23,-8.542389751835698E-24,2.1647352466245043E-23,2.5924111333936354E-23,-4.511828970141257E-24
1.5549296972313118,-5.02527204420523E-23,-2.156671048941804E-23,-8.501239224528108E-24,2.1543072517111533E-23,2.5609653094592678E-23,-6.141521011741726E-24
1.5866629563584815,-5.1518805250827634E-23,-1.8337710290237027E-23,-8.501239224527682E-24,2.154307251711059E-23,2.5168820806004728E-23,-7.752617054793241E-24
1.618396215485651,-5.2528077140942506E-23,-1.5042397892737687E-23,-8.542389751835769E-24,2.1647352466245725E-23,2.460975174491137E-23,-9.315378047291851E-24
1.6501294746128208,-5.326940003811824E-23,-1.1742705767982932E-23,-8.62393803347408E-24,2.1854004755232992E-23,2.3945976868864468E-23,-1.0802688177849965E-23
