% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:29
% Dimension:          1
% Nodes:              151
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
106.99999999999999,-3.3696729699138167E-23,7.149358706465329E-24,-1.9162750334996108E-23,2.9667647825217525E-23,7.352041676398145E-24,-1.2001723120654814E-23
107.49999999999999,-3.48202701099543E-23,8.494757718562135E-24,-1.9003041288594535E-23,3.14205021795155E-23,7.715444636738206E-24,-1.271834731884341E-23
107.99999999999999,-3.592249419946335E-23,9.963897692212962E-24,-1.8740970772414984E-23,3.3244236714932803E-23,8.09978624691573E-24,-1.3493813768573852E-23
108.5,-3.6992321467589426E-23,1.1562165926163057E-23,-1.836508725984501E-23,3.5134689439154955E-23,8.506363765492234E-24,-1.4334966159835862E-23
109,-3.8017349760316796E-23,1.3294054538508836E-23,-1.7863671573944128E-23,3.7086143678435385E-23,8.936500518365675E-24,-1.524972520593241E-23
109.5,-3.8983895843991754E-23,1.5162971776405937E-23,-1.7224906553136685E-23,3.909122643560051E-23,9.391510790737106E-24,-1.6247306380148428E-23
109.99999999999999,-3.987703987498193E-23,1.71710002891662E-23,-1.643706365315021E-23,4.114077648166077E-23,9.872651779972136E-24,-1.7338463842587143E-23
110.49999999999999,-4.068079898180108E-23,1.9318551060623706E-23,-1.548888444639461E-23,4.322372667412464E-23,1.0381051106511349E-23,-1.853582455399508E-23
110.99999999999999,-4.137826424539331E-23,2.1604137685833058E-23,-1.4369824414553098E-23,4.532704848397103E-23,1.0917593780179333E-23,-1.9854290465592755E-23
111.5,-4.1951921674406495E-23,2.4024149896484704E-23,-1.3070447151717011E-23,4.7435828873578464E-23,1.148276176829113E-23,-2.1311580478070056E-23
112,-4.2383817585756037E-23,2.657260022715501E-23,-1.1582706659667345E-23,4.953321650752297E-23,1.20763745411022E-23,-2.292886620501714E-23
112.5,-4.265612385123858E-23,2.924095413629274E-23,-9.90046798008142E-24,5.1600698049508397E-23,1.2697238689116262E-23,-2.4731610631183532E-23
112.99999999999999,-4.2751425798607894E-23,3.2018083809757915E-23,-8.019726763005253E-24,5.361829167955135E-23,1.3342581980988545E-23,-2.6750684206515203E-23
113.49999999999999,-4.265323237849046E-23,3.489018936051132E-23,-5.9390272298264345E-24,5.556484151995937E-23,1.4007230383031934E-23,-2.902374507193554E-23
113.99999999999999,-4.2346461210339325E-23,3.7840968862511824E-23,-3.659661879185274E-24,5.741848862339235E-23,1.4682346184846122E-23,-3.1597028278481963E-23
114.5,-4.181792359581623E-23,4.0851748012603233E-23,-1.1859223559319284E-24,5.915710677980012E-23,1.5353476664859627E-23,-3.4527805647669776E-23
115,-4.105674103609426E-23,4.390182378748056E-23,1.474869185855847E-24,6.075884180331808E-23,1.5997544171048585E-23,-3.788736335844921E-23
115.5,-4.005468661345362E-23,4.696885612921425E-23,4.3124022891735275E-24,6.220261553917586E-23,1.6578128299490865E-23,-4.1765022309209183E-23
115.99999999999999,-3.880655365194579E-23,5.00293680787976E-23,7.31348049142907E-24,6.346874285149812E-23,1.703789088215152E-23,-4.627308446001077E-23
116.49999999999999,-3.731030242899482E-23,5.305929892567519E-23,1.0462327173309379E-23,6.453941458082451E-23,1.7286445302507978E-23,-5.155275685619119E-23
116.99999999999999,-3.556704165370235E-23,5.603455125600204E-23,1.3740971005021954E-23,6.539905843679037E-23,1.7180538169929686E-23,-5.778026604291725E-23
117.5,-3.358107389132227E-23,5.893163875550894E-23,1.7129707217481357E-23,6.603481842474281E-23,1.649144967175407E-23,-6.51710611600908E-23
118,-3.135946858395966E-23,6.17281929990152E-23,2.0607726468603378E-23,6.643660755120466E-23,1.485160295418643E-23,-7.397575000969597E-23
118.5,-2.8912010516280404E-23,6.440343561677126E-23,2.4153508267816376E-23,6.659738654502562E-23,1.1668614628333861E-23,-8.445135783003822E-23
118.99999999999999,-2.6250481540638946E-23,6.693859060608166E-23,2.7745603390178975E-23,6.65129318113725E-23,5.996364329806692E-24,-9.676981641696838E-23
119.49999999999999,-2.3388461423315407E-23,6.93170949985174E-23,3.136292547578838E-23,6.618185529111101E-23,-3.626190592571895E-24,-1.1077914045896581E-22
120,-2.0340506209254283E-23,7.15248950131318E-23,3.498553281752447E-23,6.560522138282477E-23,-1.9255467085099828E-23,-1.254692722759394E-22
120.49999999999999,-1.712184632704527E-23,7.35502547229212E-23,3.859468640499607E-23,6.478615664410922E-23,-4.31316501088468E-23,-1.3801953075851558E-22
121,-1.3747755056994104E-23,7.538384191897797E-23,4.2173382382330573E-23,6.372952522445331E-23,-7.591298972210868E-23,-1.4289135877545073E-22
121.49999999999999,-1.0233201902112721E-23,7.701847927445362E-23,4.570637769535706E-23,6.244147574635086E-23,-1.132865812523876E-22,-1.3315373131194544E-22
121.99999999999999,-6.5922992871635105E-24,7.844884261420125E-23,4.918038920017849E-23,6.092883628564449E-23,-1.4479767114974556E-22,-1.0639609786708871E-22
122.5,-2.8381099155212786E-24,7.967110701473424E-23,5.258396421590271E-23,5.919875025649608E-23,-1.607213359602446E-22,-6.977547069529365E-23
122.99999999999999,1.017641498822152E-24,8.068263531894776E-23,5.590746384002657E-23,5.725825015625206E-23,-1.603305802387619E-22,-3.464316911723429E-23
123.5,4.964630906058806E-24,8.148140599497008E-23,5.91427140755608E-23,5.511381321701526E-23,-1.498367202434136E-22,-7.61420546834118E-24
123.99999999999999,8.99415223623454E-24,8.206568444477045E-23,6.228291918475546E-23,5.2770991498108216E-23,-1.355940169232039E-22,1.0661260106573737E-23
