% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:29
% Dimension:          1
% Nodes:              151
% Expressions:        2
% Description:        Table graph
% R0 (nm),F_x (N),F_y (N)
149.5,1.800606127379762E-24,-9.508428182868605E-26
150,1.744895065135959E-24,-8.768397768066836E-26
150.5,1.6907371091023114E-24,-8.06414828027973E-26
151,1.6382092421216072E-24,-7.396341530909158E-26
151.49999999999997,1.5873463081472784E-24,-6.766104718125197E-26
152,1.5381636137228606E-24,-6.173637739384316E-26
152.5,1.490661566730721E-24,-5.61885479197104E-26
153,1.444808945628886E-24,-5.101321100613972E-26
153.5,1.4005677053648642E-24,-4.62057190538866E-26
153.99999999999997,1.3578952740591178E-24,-4.176024152126389E-26
154.5,1.316736030815373E-24,-3.766954350469421E-26
154.99999999999997,1.277039402516665E-24,-3.3928415055437E-26
155.5,1.2387402002845974E-24,-3.0526963149352474E-26
156,1.2017893623939275E-24,-2.7463654072434736E-26
156.5,1.1661228714278809E-24,-2.4731201546173726E-26
157,1.1316872090238276E-24,-2.2326331394936503E-26
157.49999999999997,1.0984241004332572E-24,-2.0245043490932267E-26
158,1.0662770894115774E-24,-1.848728419899503E-26
158.5,1.0351985286004261E-24,-1.7051199901498945E-26
159,1.0051332471805096E-24,-1.594005186577133E-26
159.5,9.760409507933252E-25,-1.515575931826389E-26
159.99999999999997,9.478636683576003E-25,-1.4702885473616302E-26
160.5,9.205632829488971E-25,-1.4592006054132334E-26
160.99999999999997,8.940961111497291E-25,-1.4824149594335428E-26
161.5,8.684221049293107E-25,-1.5423457412538834E-26
162,8.434952709987048E-25,-1.639212421646141E-26
162.5,8.192803248454397E-25,-1.7760487924840522E-26
163,7.957318563837815E-25,-1.9540776899436588E-26
163.49999999999997,7.728038587325039E-25,-2.1759381286617175E-26
164,7.50457772043713E-25,-2.4451077388312046E-26
164.49999999999997,7.286345372775428E-25,-2.764371160946871E-26
165,7.072823649317294E-25,-3.138212979929009E-26
