% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 12 2026, 16:24
% Dimension:          1
% Nodes:              131
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
150.5,6.5217648734839536E-24,-4.096211458682257E-23,-3.494923786012566E-23,-5.183640345528334E-24,-3.2881008338991756E-23,-1.4470687174248586E-24
151,4.086034293186852E-24,-4.000913272411453E-23,-3.411637087188337E-23,-2.9605775736384643E-24,-3.276214066922944E-23,-1.4259564211552697E-24
151.49999999999997,1.8283843970796906E-24,-3.90069830153379E-23,-3.3237667958051394E-23,-9.017793226743912E-25,-3.265108038940809E-23,-1.4066099507226973E-24
152,-2.6331920935994353E-25,-3.796891374801184E-23,-3.232547289267986E-23,1.0038278964116443E-24,-3.254747003190418E-23,-1.3889119881683087E-24
152.5,-2.200820694520175E-24,-3.69060207917038E-23,-3.1390135588280254E-23,2.7669749737531714E-24,-3.245100841663221E-23,-1.3727502545981359E-24
153,-3.9953257141825236E-24,-3.582720020651852E-23,-3.043997244685939E-23,4.3978847134377654E-24,-3.236135916037406E-23,-1.358030089240891E-24
153.5,-5.657333072572041E-24,-3.4740058653702284E-23,-2.9482111449324675E-23,5.906152405927465E-24,-3.227829161366239E-23,-1.3446451980818078E-24
153.99999999999997,-7.196606408117119E-24,-3.365066436974381E-23,-2.8522262590521236E-23,7.30068069497144E-24,-3.220153026126784E-23,-1.3325063455849003E-24
154.5,-8.622243337647516E-24,-3.2563900014459156E-23,-2.756504177935929E-23,8.589764578363734E-24,-3.213084636536762E-23,-1.321534016617921E-24
154.99999999999997,-9.942696158123691E-24,-3.148378872035449E-23,-2.661427165456742E-23,9.781099011284667E-24,-3.206603722827468E-23,-1.3116406123557258E-24
155.5,-1.1165698487934105E-23,-3.0413470975401625E-23,-2.5672969858884282E-23,1.0881710552235758E-23,-3.200689047225851E-23,-1.3027507059244486E-24
156,-1.2298372898200465E-23,-2.935542334097138E-23,-2.474353980456121E-23,1.189805605222411E-23,-3.1953232994054875E-23,-1.2947911603848227E-24
156.5,-1.3347306787437368E-23,-2.8311586207703003E-23,-2.3827900683494145E-23,1.2836097433593633E-23,-3.1904918684819063E-23,-1.2876855929401538E-24
157,-1.4318397958896743E-23,-2.728341307495662E-23,-2.2927531196246263E-23,1.3701141690622225E-23,-3.186179242403001E-23,-1.2813712704748045E-24
157.49999999999997,-1.521717008276127E-23,-2.627196645092357E-23,-2.2043557860056738E-23,1.4498144749689338E-23,-3.182372352492582E-23,-1.275774492936204E-24
158,-1.6048578812749972E-23,-2.5277976849319682E-23,-2.1176815597264267E-23,1.5231525719607633E-23,-3.1790597997630343E-23,-1.270823319450918E-24
158.5,-1.6817110592583496E-23,-2.430200336553139E-23,-2.0328000196077738E-23,1.590525485079221E-23,-3.176235121404252E-23,-1.266457127281297E-24
159,-1.7526891795496577E-23,-2.3344274095574712E-23,-1.949752094598782E-23,1.652294665486201E-23,-3.173887599786079E-23,-1.2626010098191969E-24
159.5,-1.818161373965186E-23,-2.2404931563547988E-23,-1.8685733573167113E-23,1.7087798739400848E-23,-3.172013057262726E-23,-1.2591899212822826E-24
159.99999999999997,-1.8784653225016962E-23,-2.1483956732779544E-23,-1.7892881952853895E-23,1.760270058794711E-23,-3.170608788766803E-23,-1.2561334734419545E-24
160.5,-1.933894162769004E-23,-2.0581173380351933E-23,-1.711908879254116E-23,1.8070070357168062E-23,-3.1696711211075726E-23,-1.2533907967259526E-24
160.99999999999997,-1.984713936820091E-23,-1.9696388150525518E-23,-1.6364523193658584E-23,1.8492065863720535E-23,-3.169200533220797E-23,-1.2508803210189496E-24
