% Model:              2D-Au-Plate_fromR.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 12 2026, 16:24
% Dimension:          1
% Nodes:              131
% Expressions:        6
% Description:        Table graph
% R0 (nm),real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
158.5,2.5318390871060347E-31,-3.815553516262115E-31,-3.8371735545063484E-31,-2.7831611790190873E-31,-6.573760475348476E-32,-6.150864197281812E-32
159,2.4312999359802545E-31,-3.7843030989401865E-31,-3.7970220399120146E-31,-2.677472362407506E-31,-6.679056175832679E-32,-6.063162453436685E-32
159.5,2.3340448434994753E-31,-3.7523048240428217E-31,-3.7557067102802503E-31,-2.575591541894426E-31,-6.785521439921615E-32,-5.972101503776473E-32
159.99999999999997,2.2398531208619073E-31,-3.7197312832819304E-31,-3.713380415071784E-31,-2.477310510152333E-31,-6.893148181597034E-32,-5.87747939170593E-32
160.5,2.1485264627778574E-31,-3.6867387989924336E-31,-3.6701727383593824E-31,-2.3824501338904605E-31,-7.001906936006341E-32,-5.779133822416377E-32
160.99999999999997,2.0598626712035236E-31,-3.6534892874092344E-31,-3.626215161232243E-31,-2.290833708195605E-31,-7.111768971866157E-32,-5.676867287968735E-32
161.5,1.973654017647903E-31,-3.620132250965189E-31,-3.581620947759523E-31,-2.2022857037268835E-31,-7.222716746256794E-32,-5.570404645067539E-32
162,1.8897107682867112E-31,-3.586821910666342E-31,-3.53649961996791E-31,-2.116659461176597E-31,-7.334689535239762E-32,-5.459538000779074E-32
162.5,1.807832624974555E-31,-3.5537191359522023E-31,-3.4909608578159526E-31,-2.033808134060289E-31,-7.447633851963552E-32,-5.344001411181828E-32
163,1.7278210427143231E-31,-3.5209916446917746E-31,-3.445110220089014E-31,-1.9536014711265893E-31,-7.561492251732142E-32,-5.223549888219682E-32
163.49999999999997,1.649458504963808E-31,-3.488824642399063E-31,-3.3990636033187013E-31,-1.8759061851939799E-31,-7.676167552920176E-32,-5.097872254613385E-32
164,1.5725196211138512E-31,-3.4574156667976237E-31,-3.3529340301046783E-31,-1.8006033383979938E-31,-7.791562256962086E-32,-4.966655218987957E-32
164.49999999999997,1.4967538344180648E-31,-3.426990827633595E-31,-3.30684922317275E-31,-1.7275766805354275E-31,-7.907560233880526E-32,-4.829577674645232E-32
165,1.4218742254663478E-31,-3.397814576847129E-31,-3.2609602112039756E-31,-1.6567085389074082E-31,-8.024016283705477E-32,-4.686280286635549E-32
