% Model,2D-Au-Plate.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 8 2025, 17:11"
% Table,Table 6 - Point Evaluation 3
% lambda0 (nm),M,"real(ewfd.relHphi) (A/m), Point: 13","imag(ewfd.relHphi) (A/m), Point: 13"
1010,-1,-1.026090052802352E-4,-4.2960773251003324E-4
1010,0,1.297931612278212E-4,-8.995281019946196E-5
1010,1,1.365574355654473E-5,1.9864558414323443E-7
1010,2,9.725686944973154E-8,-6.423366456991095E-9
1016,-2,2.562319219403383E-6,3.642653385476781E-6
1016,-1,-2.8308271954192006E-5,-4.481307505425702E-4
1016,0,1.3798701142020815E-4,-7.788233403740688E-5
1016,1,1.2738749464142604E-5,1.814386703712552E-6
1016,2,9.545564618203865E-8,3.6332827743351943E-9
1022,-2,2.1665689659981764E-6,3.6763372361473103E-6
1022,-1,4.649883093137884E-5,-4.529148143669873E-4
1022,0,1.450074562515208E-4,-6.524096207523184E-5
1022,1,1.1707685051070729E-5,3.124377725418662E-6
1022,2,9.282813360200272E-8,1.297112928151623E-8
1028,-2,1.7899564184669334E-6,3.678002014855832E-6
1028,-1,1.1961499082291832E-4,-4.4484665122499644E-4
1028,0,1.5083863166394403E-4,-5.2134976833837904E-5
1028,1,1.0627054288769711E-5,4.156768866520234E-6
1028,2,8.949081568734967E-8,2.1558370951388332E-8
1033.9999999999998,-2,1.4336452450062586E-6,3.650988532622684E-6
1033.9999999999998,-1,1.891836780840412E-4,-4.2496067032998764E-4
1033.9999999999998,0,1.5547061387699432E-4,-3.866674594883524E-5
1033.9999999999998,1,9.54552795911979E-6,4.945276318474379E-6
1033.9999999999998,2,8.555562386271028E-8,2.9375231369674776E-8
1039.9999999999998,-2,1.098506349396151E-6,3.5985154457978927E-6
1039.9999999999998,-1,2.5362067862418243E-4,-3.9440059705643185E-4
1039.9999999999998,0,1.5889894096182848E-4,-2.4935481697821927E-5
1039.9999999999998,1,8.498401971433331E-6,5.525754998792462E-6
1039.9999999999998,2,8.112914191614543E-8,3.641344201198651E-8
1046,-2,7.851682485461729E-7,3.5236598201814236E-6
1046,-1,3.115583619555625E-4,-3.5439095719853566E-4
1046,0,1.6112339827774216E-4,-1.1037932808673131E-5
1046,1,7.509667952720144E-6,5.9336426926041705E-6
1046,2,7.631253695880022E-8,4.26744637318819E-8
1052,-2,4.939948240865218E-7,3.429371446356875E-6
1052,-1,3.6182443943351574E-4,-3.0625729187877017E-4
1052,0,1.6214873374927538E-4,2.9308774625798215E-6
1052,1,6.594201508049879E-6,6.202731743694115E-6
1052,2,7.120041523690357E-8,4.816948873838882E-8
1058,-2,2.2513775711623524E-7,3.3184515073750264E-6
1058,-1,4.034272387006593E-4,-2.5142120551530436E-4
1058,0,1.6198396615684814E-4,1.6877037630005653E-5
1058,1,5.759330796236573E-6,6.3639294712194536E-6
1058,2,6.588094044933723E-8,5.2917624167819935E-8
1064,-2,-2.1460424698262613E-8,3.193553148732226E-6
1064,-1,4.355705904701362E-4,-1.9141371330553332E-4
1064,0,1.606430501018739E-4,3.070728121014941E-5
