% Model:              2D-Au-Plate_tm.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jul 22 2025, 13:59
% Dimension:          1
% Nodes:              101
% Expressions:        6
% Description:        Table graph
% lambda0 (nm),real(mx) (m^2*A),imag(mx) (m^2*A),real(my) (m^2*A),imag(my) (m^2*A),real(mz) (m^2*A),imag(mz) (m^2*A)
977.9999999999999,4.5251841568527E-35,-2.948489500477084E-35,1.5510940607867255E-22,-6.812048820881917E-23,0,0
983.9999999999999,-2.647413519774936E-35,1.777866553733481E-36,1.653678426003964E-22,-4.846656457768695E-23,0,0
989.9999999999999,-1.3091814425261077E-35,1.0846416020928507E-36,1.7224337054721793E-22,-2.8685203843451437E-23,0,0
996,1.0377312852750631E-35,9.34233353560209E-36,1.7619783024080337E-22,-9.712683237299184E-24,0,0
1002,1.0829830691805597E-35,-1.1555671295024312E-36,1.7783049607172763E-22,8.60789859629236E-24,0,0
1008,-7.362415723296927E-37,-1.937477821920244E-36,1.7750720286050628E-22,2.6232149547378969E-23,0,0
1014,1.3092477550110843E-35,-1.500738029562389E-36,1.7564678189297862E-22,4.2681360146407316E-23,0,0
1019.9999999999999,-1.3772814814453873E-36,2.8231819690837836E-36,1.7254116105535766E-22,5.810745599756379E-23,0,0
1025.9999999999998,-1.528358621130835E-36,2.297468120796675E-36,1.6835505693367394E-22,7.266995438830123E-23,0,0
1032,5.578898192582845E-36,-8.539433500113475E-36,1.6321898932310208E-22,8.642619081737093E-23,0,0
1038,-1.3856253219463356E-35,-2.3742176142780985E-36,1.5721412943149724E-22,9.942242646190675E-23,0,0
1044,-2.2384442428646045E-35,-1.0354435045433761E-35,1.5039072828740967E-22,1.116888566585044E-22,0,0
1050,-1.50860903321394E-35,-1.2977064994736635E-35,1.4277702440492786E-22,1.232336368943078E-22,0,0
1056,7.976872975391632E-36,-5.7644578244560403E-36,1.3438872663478475E-22,1.3403910451886662E-22,0,0
1062,2.3474619681658668E-35,2.959843351165658E-37,1.2524203500643846E-22,1.4406612614234338E-22,0,0
1067.9999999999998,8.211215530995318E-38,-5.234649901009515E-37,1.1535936393238784E-22,1.5325250963336571E-22,0,0
1073.9999999999998,-5.718212074063776E-36,2.859106037031888E-36,1.0477960679732306E-22,1.6152251602968355E-22,0,0
1080,-6.57012568540454E-36,-1.6503159304570646E-36,9.356195225587766E-23,1.6879015138720593E-22,0,0
1086,-1.3077571656748748E-35,-1.7022760871633843E-35,8.211973355242531E-23,1.7493906790591488E-22,0,0
1092,-4.347942417116768E-35,-2.813096705064324E-35,7.011931065211823E-23,1.7997763046551634E-22,0,0
1098,-2.733054652546244E-36,-4.901559405821353E-36,5.757837586666991E-23,1.8378918519937181E-22,0,0
1104,2.015899543283682E-37,-5.795711186940587E-36,4.5090164167831446E-23,1.8635653052082067E-22,0,0
1110,-3.008280296713664E-36,4.339070959887528E-36,3.269866212313909E-23,1.8768998691353707E-22,0,0
1115.9999999999998,-2.239447579593813E-35,-2.2112936049940348E-35,2.016506440828035E-23,1.8764914760277895E-22,0,0
1121.9999999999998,-1.4815823708587606E-35,-3.6190399069830535E-36,8.077496951547842E-24,1.8641112680215284E-22,0,0
1128,-3.761705452106817E-36,-1.3032493582722374E-36,-3.3404122444482794E-24,1.841438825320909E-22,0,0
1134,1.5911536612520004E-36,1.2278311600055033E-35,-1.4300188722610034E-23,1.8072072028671645E-22,0,0
1140,-5.992918750957469E-36,7.65959656629459E-36,-2.457104867477632E-23,1.7630674747014733E-22,0,0
1146,-6.674265118332755E-36,-8.026189282153457E-36,-3.381159729705786E-23,1.713428344190671E-22,0,0
1152,1.0119169881343447E-35,6.75626194758188E-36,-4.21939254969578E-23,1.6576690991969004E-22,0,0
1157.9999999999998,1.17855737972861E-35,-7.829226786015836E-36,-4.9692354732604995E-23,1.59721249164471E-22,0,0
1163.9999999999998,-5.302461624776724E-36,1.8306916558960146E-35,-5.630653157109117E-23,1.5334181808459913E-22,0,0
1169.9999999999998,-1.731620803341218E-35,2.7256161216228003E-35,-6.205764751459716E-23,1.4675368108247813E-22,0,0
1176,-2.9385080299123696E-36,-1.1188934421589407E-36,-6.698390357503247E-23,1.4006787968594547E-22,0,0
1182,8.1675646169717E-36,-2.4820763126680335E-36,-7.113614993414907E-23,1.3337984234078966E-22,0,0
