% Model:              2D-Au-Plate_from_psi.mph
% Version:            COMSOL 6.2.0.339
% Date:               Dec 20 2025, 18:26
% Dimension:          1
% Nodes:              100
% Expressions:        6
% Description:        Table graph
% psi,real(px) (C*m),imag(px) (C*m),real(py) (C*m),imag(py) (C*m),real(pz) (C*m),imag(pz) (C*m)
1.5231964381041423,9.374262091318672E-32,7.650445020037731E-32,2.2588710097362857E-31,-2.022687973308857E-31,8.365400921431569E-33,-4.5468930948487496E-32
1.5549296972313118,9.329104256169997E-32,7.613591182193984E-32,2.1287034597214513E-31,-2.1628087622175456E-31,8.325102987356486E-33,-4.52498973362294E-32
1.5866629563584815,9.329104256170632E-32,7.61359118219404E-32,1.9873171140364258E-31,-2.293401589258472E-31,8.325102987357039E-33,-4.524989733622941E-32
1.618396215485651,9.374262091318144E-32,7.6504450200382E-32,1.8373218083301152E-31,-2.4120558552051978E-31,8.365400921431038E-33,-4.546893094848735E-32
1.6501294746128208,9.46375168233207E-32,7.72347852275526E-32,1.6816945771843067E-31,-2.5169464604275017E-31,8.445259613223298E-33,-4.590299135716599E-32
1.6818627337399903,9.595979185080602E-32,7.831390935493464E-32,1.5235514620101346E-31,-2.606930818876132E-31,8.563256748630173E-33,-4.654434777897063E-32
1.71359599286716,9.768689961542343E-32,7.972342221772675E-32,1.3659186777394286E-31,-2.6815590962155905E-31,8.717380334516577E-33,-4.7382064315219594E-32
1.7453292519943295,9.97910767397027E-32,8.144066579859486E-32,1.211539659087628E-31,-2.7410070474760796E-31,8.905152823516555E-33,-4.840267461430278E-32
1.7770625111214993,1.0224086456039076E-31,8.343996631423688E-32,1.06274140611364E-31,-2.785955334572316E-31,9.123766908475781E-33,-4.959091996281378E-32
1.8087957702486688,1.050025885105131E-31,8.569384155637771E-32,9.21367069430996E-32,-2.8174444796604108E-31,9.370217539490931E-33,-5.093046684515754E-32
1.8405290293758385,1.0804166775912017E-31,8.817406970409722E-32,7.887677614603067E-32,-2.8367314191542814E-31,9.641418793508873E-33,-5.240454217136316E-32
1.872262288503008,1.113236831697352E-31,9.085256089724456E-32,6.658384025427567E-32,-2.8451655109400633E-31,9.934299176759905E-33,-5.399645127976451E-32
1.9039955476301778,1.1481518172324236E-31,9.370201373534035E-32,5.530802078884687E-32,-2.8440927417732783E-31,1.0245873409827918E-32,-5.568996811436709E-32
1.9357288067573473,1.1848423202075776E-31,9.669636862999007E-32,4.5067446097313804E-32,-2.8347894627655447E-31,1.0573291999585718E-32,-5.746960466601113E-32
1.967462065884517,1.223007666616237E-31,9.981108722358373E-32,3.585562791635515E-32,-2.8184222852207795E-31,1.0913871792324806E-32,-5.932077703944984E-32
1.9991953250116865,1.262367556407918E-31,1.0302329390089178E-31,2.7648139809099573E-32,-2.796028623265725E-31,1.1265111447374342E-32,-6.122988955800664E-32
2.0309285841388562,1.3026625446594419E-31,1.0631181505806264E-31,2.0408259170910528E-32,-2.768512041744032E-31,1.1624695730985017E-32,-6.318435810233855E-32
